time,match_type,court_Surface,best_effort,outcome
Morning,Master,Gras,1,F
Afternoon,Grand slam,Clay,1,F
Night,Friendly,Hard,0,F
Afternoon,Friendly,Mixed,0,N
Afternoon,Master,Clay,1,N
Afternoon,Grand slam,Gras,1,F
Afternoon,Grand slam,Hard,1,F
Afternoon,Grand slam,Hard,1,F
Morning,Master,Gras,1,F
Afternoon,Grand slam,Clay,1,N
Night,Friendly,Hard,0,F
Night,Master,Mixed,1,N
Afternoon,Master,Clay,1,N
Afternoon,Master,Gras,1,F
Afternoon,Grand slam,Hard,1,F
Afternoon,Grand slam,Clay,1,F
